date,category,ets_forecast,lgbm_residual_forecast,final_forecast
2023-11-02,Bakery,9421.443252708212,-654.0697781115311,8767.373474596681
2023-11-03,Bakery,11192.870463149397,-555.6366926967753,10637.233770452622
2023-11-04,Bakery,13633.342255969828,-1006.2782332510243,12627.064022718803
2023-11-05,Bakery,13067.411632902777,-582.2399117800634,12485.171721122713
2023-11-06,Bakery,9464.683092427766,40.000418314132205,9504.683510741897
2023-11-07,Bakery,8522.29201469547,253.26765432485848,8775.559669020327
2023-11-08,Bakery,8808.851557251302,-371.10937197019155,8437.742185281111
2023-11-09,Bakery,9421.443252708212,-565.6824429557264,8855.760809752486
2023-11-10,Bakery,11192.870463149397,-611.9499350361347,10580.920528113262
2023-11-11,Bakery,13633.342255969828,-1015.153636775757,12618.188619194072
2023-11-12,Bakery,13067.411632902777,-644.0648209502764,12423.3468119525
2023-11-13,Bakery,9464.683092427766,40.000418314132205,9504.683510741897
2023-11-14,Bakery,8522.29201469547,203.08642622355603,8725.378440919025
2023-11-15,Bakery,8808.851557251302,-371.10937197019155,8437.742185281111
2023-11-16,Bakery,9421.443252708212,-586.4890682411043,8834.954184467108
2023-11-17,Bakery,11192.870463149397,-606.7720181028635,10586.098445046533
2023-11-18,Bakery,13633.342255969828,-941.7669614672299,12691.575294502598
2023-11-19,Bakery,13067.411632902777,-580.0596289081059,12487.35200399467
2023-11-20,Bakery,9464.683092427766,19.193793028754303,9483.87688545652
2023-11-21,Bakery,8522.29201469547,203.08642622355603,8725.378440919025
2023-11-22,Bakery,8808.851557251302,-391.91599725556955,8416.935559995733
2023-11-23,Bakery,9421.443252708212,-606.7720181028635,8814.671234605348
2023-11-24,Bakery,11192.870463149397,-565.6824429557264,10627.18802019367
2023-11-25,Bakery,13633.342255969828,-921.4840116054705,12711.858244364357
2023-11-26,Bakery,13067.411632902777,-497.23117608675557,12570.18045681602
2023-11-27,Bakery,9464.683092427766,98.60043227641869,9563.283524704184
2023-11-28,Bakery,8522.29201469547,261.68644018584257,8783.978454881311
2023-11-29,Bakery,8808.851557251302,-312.50935800790506,8496.342199243398
2023-11-30,Bakery,9421.443252708212,-487.46457005148307,8933.978682656729
2023-12-01,Bakery,11192.870463149397,-495.6284483627094,10697.242014786687
2023-11-02,Beverages,8995.759744271314,-167.1866133442034,8828.57313092711
2023-11-03,Beverages,10651.087513602928,-169.6173187475428,10481.470194855385
2023-11-04,Beverages,12951.331767051273,-365.84416027732556,12585.487606773948
2023-11-05,Beverages,13245.757128011994,-650.2290105384985,12595.528117473496
2023-11-06,Beverages,9270.358117973616,297.2481879694437,9567.60630594306
2023-11-07,Beverages,8358.451110972963,547.5067698693662,8905.957880842328
2023-11-08,Beverages,8673.294233670742,-74.37026067806737,8598.923972992674
2023-11-09,Beverages,8995.759744271314,-149.51921098194026,8846.240533289374
2023-11-10,Beverages,10651.087513602928,-149.51921098194026,10501.568302620988
2023-11-11,Beverages,12951.331767051273,-298.4071441808869,12652.924622870387
2023-11-12,Beverages,13245.757128011994,-731.9048678667135,12513.85226014528
2023-11-13,Beverages,9270.358117973616,290.3489440071963,9560.707061980813
2023-11-14,Beverages,8358.451110972963,480.4606693259053,8838.911780298868
2023-11-15,Beverages,8673.294233670742,-92.33841756811577,8580.955816102627
2023-11-16,Beverages,8995.759744271314,-141.1481013924226,8854.611642878892
2023-11-17,Beverages,10651.087513602928,-141.1481013924226,10509.939412210506
2023-11-18,Beverages,12951.331767051273,-396.10122683290257,12555.23054021837
2023-11-19,Beverages,13245.757128011994,-780.8195959048604,12464.937532107133
2023-11-20,Beverages,9270.358117973616,253.40454521328746,9523.762663186903
2023-11-21,Beverages,8358.451110972963,405.2066748081921,8763.657785781155
2023-11-22,Beverages,8673.294233670742,-92.33841756811577,8580.955816102627
2023-11-23,Beverages,8995.759744271314,-141.1481013924226,8854.611642878892
2023-11-24,Beverages,10651.087513602928,-141.1481013924226,10509.939412210506
2023-11-25,Beverages,12951.331767051273,-310.3774734251253,12640.954293626148
2023-11-26,Beverages,13245.757128011994,-789.9891534015054,12455.767974610488
2023-11-27,Beverages,9270.358117973616,253.40454521328746,9523.762663186903
2023-11-28,Beverages,8358.451110972963,405.2066748081921,8763.657785781155
2023-11-29,Beverages,8673.294233670742,-92.33841756811577,8580.955816102627
2023-11-30,Beverages,8995.759744271314,-141.1481013924226,8854.611642878892
2023-12-01,Beverages,10651.087513602928,-129.1777721481843,10521.909741454743
2023-11-02,Frozen_Foods,5278.735779391083,-562.9228704082935,4715.81290898279
2023-11-03,Frozen_Foods,6339.1723763522905,-449.908703728585,5889.263672623705
2023-11-04,Frozen_Foods,8185.971342286904,-1070.1338432244017,7115.837499062502
2023-11-05,Frozen_Foods,7438.991704926154,-383.9599246483876,7055.031780277766
2023-11-06,Frozen_Foods,5360.4564800272965,-242.2713416473444,5118.185138379952
2023-11-07,Frozen_Foods,4985.888881431536,-249.229722755845,4736.659158675691
2023-11-08,Frozen_Foods,5059.877961668491,-439.37447017014375,4620.503491498347
2023-11-09,Frozen_Foods,5278.735779391083,-491.9638677102593,4786.771911680824
2023-11-10,Frozen_Foods,6339.1723763522905,-515.8850566497157,5823.287319702575
2023-11-11,Frozen_Foods,8185.971342286904,-996.3993198647164,7189.572022422187
2023-11-12,Frozen_Foods,7438.991704926154,-298.60102180193616,7140.3906831242175
2023-11-13,Frozen_Foods,5360.4564800272965,-189.92282357793968,5170.533656449356
2023-11-14,Frozen_Foods,4985.888881431536,-167.58485933644883,4818.304022095087
2023-11-15,Frozen_Foods,5059.877961668491,-427.73244240723363,4632.145519261257
2023-11-16,Frozen_Foods,5278.735779391083,-432.6826070136846,4846.053172377398
2023-11-17,Frozen_Foods,6339.1723763522905,-491.4602655825955,5847.712110769695
2023-11-18,Frozen_Foods,8185.971342286904,-953.2292668071066,7232.742075479797
2023-11-19,Frozen_Foods,7438.991704926154,-295.5774546086608,7143.4142503174935
2023-11-20,Frozen_Foods,5360.4564800272965,-45.8172064172797,5314.639273610017
2023-11-21,Frozen_Foods,4985.888881431536,-10.191703363157458,4975.697178068379
2023-11-22,Frozen_Foods,5059.877961668491,-241.0515630294673,4818.826398639023
2023-11-23,Frozen_Foods,5278.735779391083,-318.240036089174,4960.495743301909
2023-11-24,Frozen_Foods,6339.1723763522905,-333.46512443214425,6005.7072519201465
2023-11-25,Frozen_Foods,8185.971342286904,-901.4178539654276,7284.553488321476
2023-11-26,Frozen_Foods,7438.991704926154,-88.64057824318519,7350.351126682969
2023-11-27,Frozen_Foods,5360.4564800272965,54.722367815922205,5415.178847843219
2023-11-28,Frozen_Foods,4985.888881431536,51.124851086890835,5037.013732518427
2023-11-29,Frozen_Foods,5059.877961668491,-188.5037037068618,4871.374257961629
2023-11-30,Frozen_Foods,5278.735779391083,-227.9222934104825,5050.8134859806005
2023-12-01,Frozen_Foods,6339.1723763522905,-230.70711324846513,6108.465263103825
